Username;Project Name;Timestamp;# of Components;# of Batteries;# of Resistors;# of Capacitors;# of Inductors;# of Voltmeters;# of Switches;Avg Voltage;Avg Current;Avg Resistance;Avg Power;# of Views;# of Comments;Avg Comment Length
afraid_chemistry;independent-falcon-of-infinite-acumen;2019-02-08 13:52:56;397;87;9;98;51;74;78;3334.9889645268686;72.83833321261912;45.83179557740256;242913.0245183712;6;3;88.07104045217089
PowerfulManufacturer;dangerous-mongoose-of-abstract-romance;2019-02-06 06:14:08;306;93;66;80;4;36;27;376.165932401732;50.704784928059375;7.4059333978260256;19074.794436998192;7;1;87.7627332225755
ForeignPromotion;stalwart-secret-muskox-of-wonder;2019-02-23 07:09:08;307;6;76;60;11;54;100;2563.678879576638;52.65093127629895;48.60404980341648;134981.5457015039;8;0;49.83685122621804
AwareAssociation;spiritual-wooden-jaguarundi-of-radiance;2019-02-14 12:37:54;278;79;12;33;42;56;56;2238.922374755225;23.792008219531024;94.05953024560195;53266.41924930846;9;1;76.65110304946539
expensive_development;loyal-vague-tench-of-sympathy;2019-02-21 07:57:15;193;2;52;52;1;24;62;2338.7011656261234;95.78388692719143;24.416438910272266;224011.01254567338;8;1;12.934292367093668
difficult_hearing;futuristic-hot-leopard-of-luck;2019-02-17 22:57:07;285;48;47;43;30;92;25;912.3196540377141;14.793353823806054;61.41100971372937;13497.04793072919;47;2;90.60579454450458
popular_effort;caped-dainty-tuna-of-judgment;2019-02-24 09:58:19;170;72;12;61;15;6;4;19.305226967090903;7.245399850131773;2.7202260924532595;135.9565519088543;9;0;43.69301228107242
AsleepImagination;winged-positive-kudu-of-excitement;2019-02-20 06:43:22;340;59;54;55;33;68;71;3498.3172908000142;65.05088809271653;53.73656769953084;227568.33350678114;0;1;79.00624382921183
serious_hearing;ethereal-cryptic-toad-of-action;2019-02-11 07:00:10;264;50;23;40;52;3;96;71.32148462907462;14.514237057194501;4.874468535830568;1039.5772546342178;89;2;69.03557189967806
HungryMarketing;auspicious-outstanding-bandicoot-of-reputation;2019-02-12 12:31:38;258;53;5;95;40;63;2;7646.178784997088;85.04148390591291;89.86954824805521;650242.3225065309;1;2;81.44023232769912
psychological_combination;inventive-jolly-dugong-of-witchcraft;2019-02-23 00:02:29;240;24;11;27;78;79;21;449.2703653359274;11.14612387205578;40.05249044166534;5009.7711846596185;5;2;69.87114155345489
logical_foundation;hairy-devious-toad-from-lemuria;2019-02-10 06:34:50;293;79;0;78;23;80;33;197.34319767038056;6.740662723865931;29.682993811902993;1330.4014324015436;1;1;19.744003480757165
AliveGene;rough-donkey-of-immortal-inspiration;2019-02-08 11:45:16;320;50;12;77;79;5;97;4383.283092835455;52.53447795588551;83.3545025307952;230274.2209955864;4;1;86.87549367703551
PregnantObligation;adamant-ethereal-termite-of-philosophy;2019-02-25 04:03:04;296;37;2;90;58;77;32;1370.1278795386627;38.03119495318439;36.11493843228093;52112.12957630919;85;0;94.34531218766381
TechnicalTemperature;lyrical-hysterical-trogon-of-gaiety;2019-02-17 08:55:10;191;37;29;36;6;11;72;4402.368104492263;66.87505809476994;65.85267620445008;294405.3427960629;3;0;80.27938232889831
relevant_argument;pompous-nimble-cuttlefish-of-economy;2019-02-11 04:45:55;446;98;100;91;32;38;87;4894.685826057248;97.58930404735028;50.166673476225355;477670.0372001783;10;1;98.9718873230284
tall_reading;famous-polar-macaw-of-expression;2019-02-10 12:17:29;413;35;91;89;47;70;81;2409.297662547949;31.184935200274687;77.17465365837491;75130.63284732756;1;2;90.25309595696235
mad_association;curly-wandering-snail-of-coffee;2019-02-24 16:06:28;240;90;94;14;37;3;2;1688.8957368492847;66.6407406014865;25.35305490587603;112546.5768916539;7;2;94.13084620881918
CriticalInformation;hopeful-elated-mammoth-of-infinity;2019-02-11 02:36:57;186;22;99;13;42;9;1;915.9632650690611;47.41276053796272;19.373603389968828;43432.26728597385;4;2;87.98987156586331
global_bonus;rigorous-chocolate-platypus-of-passion;2019-02-07 01:23:24;400;50;8;87;63;92;100;5566.645630857064;68.60047272952472;81.21697796638679;381877.3770925028;10;3;68.30197026940003
eastern_king;terrestrial-amber-cockatoo-of-defense;2019-02-25 20:13:09;310;39;80;64;2;56;69;3692.427757814041;43.48840944301495;84.82242029401431;160578.45376774392;5;3;86.50448543450831
realistic_depression;wakeful-piquant-bullfinch-of-education;2019-02-13 12:08:36;354;45;0;38;73;98;100;1225.0854742609176;17.640080218847075;69.70477661481462;21607.50037507591;10;2;60.130242738189445
SuccessfulSignificance;organic-fluorescent-ape-of-tranquility;2019-02-25 09:24:22;357;30;68;100;12;62;85;47.92080422480895;4.375054826802815;9.995590849509007;204.79630132134815;1;2;18.647176731404112
NumerousPassenger;proud-adept-baboon-of-order;2019-02-28 00:04:14;319;16;78;78;79;66;2;2127.1654003167832;59.70861372902119;35.68237233315957;127006.86171587992;3;1;41.794748345020004
exciting_system;astonishing-hypersonic-angelfish-of-opportunity;2019-02-11 12:42:22;406;76;90;60;35;69;76;1074.9985126815268;56.42397349149226;19.061358416920292;60660.05619168075;9;2;86.65339460648902
afraid_obligation;zealous-cormorant-of-majestic-joy;2019-02-11 02:27:14;237;36;53;58;22;8;60;3865.405435409669;53.35785511513465;72.36169436238542;206247.07368187248;1;1;96.55117685261855
additional_development;gentle-nifty-dragon-of-patience;2019-02-07 07:26:05;340;14;28;76;65;88;69;1382.8269532462516;88.03462298890888;15.743895005284136;121735.23489124312;9;2;78.4171880778309
entire_employment;rugged-whispering-lyrebird-of-energy;2019-02-06 03:27:21;213;20;75;27;52;24;15;1397.3104748610156;93.56451075885481;14.89150369381196;130733.71903711674;5;0;38.64886739326012
lonely_road;wandering-yellow-dragonfly-of-democracy;2019-02-18 13:20:36;199;14;57;63;18;46;1;398.9062241520277;21.639905794252513;18.405075901638888;8633.129764978656;34;0;70.81568344486125
TinyAssumption;petite-flashy-mink-of-culture;2019-02-16 03:26:08;363;95;27;100;34;26;81;1875.127377675666;68.10164730078223;27.49513194432862;127697.5342315892;6;0;50.42545404364339
impressive_assignment;cyan-antelope-of-premium-drizzle;2019-02-21 03:50:38;293;2;79;25;51;77;59;5188.287930536786;93.16892766680304;55.684885366757506;483385.0672689159;5;2;32.51088402722434
unlikely_girl;neat-charcoal-frog-of-current;2019-02-27 05:45:35;166;2;92;0;2;22;48;2924.215230636964;67.82835880760466;43.100395410493306;198347.65483421576;1;2;48.49589058145346
latter_combination;zippy-grumpy-mussel-of-foundation;2019-02-21 23:57:23;219;69;23;13;67;28;19;354.34563971550415;17.9707575577452;19.587122664644774;6370.0875093847635;0;1;64.01466446884534
suitable_tongue;straight-hilarious-sawfly-of-enterprise;2019-02-10 13:37:44;365;70;79;68;60;46;42;4623.847224632886;47.33659741645373;97.69018573183843;218873.4095397952;78;2;50.08830901511288
HistoricalPermission;fanatic-bouncy-hedgehog-of-novelty;2019-02-06 21:23:19;344;36;79;42;74;96;17;8956.586944692139;89.7842731871689;99.73995619872635;804165.6117653426;4;2;12.385139692900237
TallElection;tacky-sensible-pillbug-of-debate;2019-02-26 21:55:51;364;95;16;90;19;50;94;2464.6570380464445;71.92306875762783;34.26482405607533;177268.61062186345;16;0;12.792621205149224
PracticalPersonality;hilarious-boisterous-cuscus-of-bliss;2019-02-17 01:54:57;334;32;83;26;49;55;89;21.90385339743317;2.352515866329341;9.923590337606258;48.25170879021287;10;0;5.45489433272216
DistinctFarmer;aromatic-ant-of-awesome-luxury;2019-02-19 10:20:17;276;34;67;25;69;50;31;125.99360105885921;18.012389939836094;7.053104195585558;2270.4122464922248;9;2;25.469394034562043
DesperateGirlfriend;precise-ninja-adder-of-control;2019-02-14 05:19:38;338;80;67;63;29;65;34;2271.081921137053;48.65976942555813;46.57932705857154;110513.85655956187;9;1;64.77922652476549
pure_attitude;hysterical-opalescent-buffalo-of-perspective;2019-02-08 09:01:38;291;74;42;34;20;43;78;3125.1472951367955;52.293827619569235;59.79703939827197;163429.42964130288;6;0;77.54500854840549
TraditionalVehicle;hot-bulky-fox-of-art;2019-02-08 05:17:57;171;46;13;58;1;41;12;969.3951073178217;79.20288575137326;12.293633894070389;76782.0445497554;5;3;30.231391651366746
ObviousMenu;satisfied-zircon-hyrax-from-avalon;2019-02-26 16:11:46;322;49;77;68;12;56;60;1251.6031586159968;16.945020266791566;73.79305953916014;21207.15968041617;1;1;39.16725429157613
scared_relationship;simple-dancing-finch-of-refinement;2019-02-26 00:03:49;253;5;36;16;78;64;54;815.9267342877636;12.724365785893854;64.48956917973167;10379.174290242217;4;2;6.4424557200727595
RecentWay;cryptic-woodpecker-of-fantastic-romance;2019-02-15 17:04:10;415;71;89;8;87;90;70;3460.509343006258;57.84337225919624;59.742151982862445;200166.29887678626;3;0;21.048615182958763
political_confusion;rare-intrepid-coua-of-refinement;2019-02-11 04:34:54;441;47;99;29;93;86;87;79.84110536791421;4.606958380971871;16.766337875414273;366.7834255618653;6;0;92.59705893834213
huge_situation;ludicrous-wealthy-tapir-of-agility;2019-02-23 21:59:03;381;15;55;59;79;96;77;190.74055401846982;2.6766225373440866;73.02506571125164;511.0266710028398;10;1;89.89492919876486
significant_examination;sticky-precious-beluga-of-imagination;2019-02-10 11:49:12;175;6;20;33;13;41;62;6754.178807436434;74.23024453065864;91.04056677823938;501365.71968934254;7;0;5.515030837984735
CuteClimate;impressive-attractive-raven-of-patience;2019-02-07 20:35:25;327;10;45;70;68;94;40;270.5674953634336;6.063853631306726;45.02846863969289;1644.2827217357817;1;3;52.266219922037415
lucky_performance;observant-cuddly-cat-of-glory;2019-02-20 07:45:12;339;22;63;80;1;92;81;1409.5255953623353;33.194073357627374;42.53559787709121;46787.70577852041;50;3;85.08725429501101
MedicalRiver;affable-bronze-caracal-of-infinity;2019-02-26 04:18:53;314;40;6;2;85;89;92;203.92956858745436;3.6278178936826055;57.15460651224487;737.6720568524686;2;0;49.16176061499784
hungry_classroom;mysterious-divergent-goat-of-endurance;2019-02-10 06:50:30;427;31;86;94;65;56;95;1779.3869572662475;34.31644171685526;51.72901778662749;61062.1786905727;3;3;6.010746265845846
environmental_restaurant;grumpy-hissing-whale-of-force;2019-02-18 05:21:48;316;5;93;54;48;31;85;659.4660327588672;14.024326855008262;47.148572381484655;9248.172889704863;6;0;4.214077864223187
